State,FIPS,Value (Dollars),Rank within US
United States,0,62843,N/A
Puerto Rico,72001,20539,3146 of 3146
"Holmes County, Mississippi",28051,21504,3145 of 3146
"Clay County, Georgia",13061,22325,3144 of 3146
"East Carroll Parish, Louisiana",22035,22346,3143 of 3146
"Perry County, Alabama",1105,23447,3142 of 3146
"Greene County, Alabama",1063,24145,3141 of 3146
"Issaquena County, Mississippi",28055,24208,3140 of 3146
"Sumter County, Alabama",1119,24320,3139 of 3146
"Todd County, South Dakota",46121,24331,3138 of 3146
"Wolfe County, Kentucky",21237,24623,3137 of 3146
"Guadalupe County, New Mexico",35019,24798,3136 of 3146
"Jefferson County, Mississippi",28063,25019,3135 of 3146
"Presidio County, Texas",48377,25098,3134 of 3146
"Lee County, Kentucky",21129,25275,3133 of 3146
"Quitman County, Mississippi",28119,25283,3132 of 3146
"Bell County, Kentucky",21013,26272,3131 of 3146
"Harlan County, Kentucky",21095,26478,3130 of 3146
"Quitman County, Georgia",13239,26667,3129 of 3146
"Leflore County, Mississippi",28083,26735,3128 of 3146
"Kinney County, Texas",48271,26738,3127 of 3146
"Claiborne Parish, Louisiana",22027,26776,3126 of 3146
"Clay County, Kentucky",21051,26840,3125 of 3146
"Emporia City, Virginia",51595,27063,3124 of 3146
"Dimmit County, Texas",48127,27161,3123 of 3146
"Allendale County, South Carolina",45005,27185,3122 of 3146
"Wilkinson County, Mississippi",28157,27313,3121 of 3146
"Breathitt County, Kentucky",21025,27344,3120 of 3146
"Jenkins County, Georgia",13165,27375,3119 of 3146
"Tensas Parish, Louisiana",22107,27500,3118 of 3146
"Clinch County, Georgia",13065,27658,3117 of 3146
"McDowell County, West Virginia",54047,27682,3116 of 3146
"McCreary County, Kentucky",21147,28105,3115 of 3146
"Magoffin County, Kentucky",21153,28147,3114 of 3146
"Brooks County, Texas",48047,28333,3113 of 3146
"Mora County, New Mexico",35033,28446,3112 of 3146
"Natchitoches Parish, Louisiana",22069,28567,3111 of 3146
"Webster Parish, Louisiana",22119,28951,3110 of 3146
"Humphreys County, Mississippi",28053,28962,3109 of 3146
"Norton City, Virginia",51720,29000,3108 of 3146
"Quay County, New Mexico",35037,29035,3107 of 3146
"Coahoma County, Mississippi",28027,29121,3106 of 3146
"Phillips County, Arkansas",5107,29320,3105 of 3146
"Claiborne County, Mississippi",28021,29338,3104 of 3146
"Luna County, New Mexico",35029,29360,3103 of 3146
"Harding County, New Mexico",35021,29375,3102 of 3146
"Sharkey County, Mississippi",28125,29394,3101 of 3146
