State,FIPS,Value (Dollars),Rank within US
United States,0,62843,N/A
Puerto Rico,72001,20539,52 of 52
Mississippi,28000,45081,51 of 52
West Virginia,54000,46711,50 of 52
Arkansas,5000,47597,49 of 52
Louisiana,22000,49469,48 of 52
New Mexico,35000,49754,47 of 52
Alabama,1000,50536,46 of 52
Kentucky,21000,50589,45 of 52
Oklahoma,40000,52919,44 of 52
South Carolina,45000,53199,43 of 52
Tennessee,47000,53320,42 of 52
North Carolina,37000,54602,41 of 52
Montana,30000,54970,40 of 52
Missouri,29000,55461,39 of 52
Florida,12000,55660,38 of 52
Idaho,16000,55785,37 of 52
Indiana,18000,56303,36 of 52
Ohio,39000,56602,35 of 52
Michigan,26000,57144,34 of 52
Maine,23000,57918,33 of 52
South Dakota,46000,58275,32 of 52
Georgia,13000,58700,31 of 52
Arizona,4000,58945,30 of 52
Kansas,20000,59597,29 of 52
Nevada,32000,60365,28 of 52
Iowa,19000,60523,27 of 52
Nebraska,31000,61439,26 of 52
Pennsylvania,42000,61744,25 of 52
Wisconsin,55000,61747,24 of 52
Texas,48000,61874,23 of 52
Vermont,50000,61973,22 of 52
Oregon,41000,62818,21 of 52
Wyoming,56000,64049,20 of 52
North Dakota,38000,64894,19 of 52
Illinois,17000,65886,18 of 52
Rhode Island,44000,67167,17 of 52
Delaware,10000,68287,16 of 52
New York,36000,68486,15 of 52
Minnesota,27000,71306,14 of 52
Utah,49000,71621,13 of 52
Colorado,8000,72331,12 of 52
Washington,53000,73775,11 of 52
Virginia,51000,74222,10 of 52
California,6000,75235,9 of 52
New Hampshire,33000,76768,8 of 52
Alaska,2900,77640,7 of 52
Connecticut,9000,78444,6 of 52
Massachusetts,25000,81215,5 of 52
Hawaii,15000,81275,4 of 52
New Jersey,34000,82545,3 of 52
Maryland,24000,84805,2 of 52
District of Columbia,11001,86420,1 of 52
