subregion,region,FIPS,geometry
Lake of the Woods,Minnesota,27077,"list(list(c(-95.3428312727766, -95.3410528919068, -95.0943590514867, -95.0949103500744, -95.1338212447621, -95.2195784805062, -95.2902601709304, -95.3141717240404, -95.3037572989727, -95.3209164545626, -95.3232358768202, -95.3101205963526, -95.2766571036275, -95.157749893205, -95.1518673373111, -94.8320392478278, -94.681249966592, -94.6944320224665, -94.5703127558325, -94.4306344567786, -94.4316900676902, -95.2117880336439, -95.2198397800811, -95.3428312727766, 48.546679319076, 48.7151719573359, 
48.7173575179556, 48.9117624331324, 48.8944847499003, 48.8794465034889, 48.9029495817479, 48.9320719995764, 48.9459389048522, 48.9609769958515, 48.9789563129937, 48.993395445689, 48.9999911877938, 48.9999959019614, 49.3717301366407, 49.3308059297644, 48.8771613237013, 48.7776155103891, 48.7136762711093, 48.7107852948847, 48.3682124346715, 48.3690047256506, 48.5443577728528, 48.546679319076)))"
Ferry,Washington,53019,"list(list(c(-118.851628801339, -118.848460466287, -118.870258155568, -118.871055626951, -118.839736044398, -118.843602801509, -118.200354737664, -118.212363380241, -118.214947831965, -118.20080854105, -118.209665063239, -118.14099228166, -118.124542219762, -118.127943672991, -118.115026076738, -118.124303869377, -118.090068341052, -118.122319515646, -118.126973383333, -118.147611957231, -118.145979042104, -118.195496399434, -118.212632398618, -118.170389882546, -118.145531247987, -118.148330582866, 
-118.190400643291, -118.19474021587, -118.246271248017, -118.236671545077, -118.249817130908, -118.280656645428, -118.365744883806, -118.386306891335, -118.381033913573, -118.355389100911, -118.344262836538, -118.368158330396, -118.432882349069, -118.459343697, -118.507007039562, -118.529354628721, -118.543837069594, -118.556784919406, -118.625582186092, -118.682576731257, -118.729406702237, -118.820529282345, -118.831821837685, -118.851628801339, 47.94956368482, 48.478065749514, 48.4791641505621, 
48.6472375905349, 48.6490384543578, 48.9998984585632, 48.9999088193711, 48.9812581218778, 48.9368391626973, 48.9133788745748, 48.8749297610946, 48.7849071879597, 48.7822677721505, 48.7425026288525, 48.7065677726222, 48.6903243052334, 48.6434796219063, 48.6159783078837, 48.5702238923706, 48.5432797825962, 48.5280550934469, 48.481941106096, 48.4522579095406, 48.2980568142677, 48.2733526075504, 48.2401256002653, 48.2061122076617, 48.1475243774595, 48.1175774465393, 48.0752561883275, 48.0562468514693, 
48.0435241938165, 48.041337545312, 48.0236214444942, 47.9978716768489, 47.9663352425868, 47.885378531765, 47.8358703437504, 47.8389024859825, 47.8773092755625, 47.8694313316777, 47.8737950967434, 47.9160052352906, 47.9218530824781, 47.9219818155161, 47.9351267278943, 47.8953990907208, 47.9232535528802, 47.9410683921972, 47.94956368482)))"
Stevens,Washington,53065,"list(list(c(-117.438831576286, -117.542192187258, -117.536709299528, -117.608122255773, -117.627250379294, -117.662438583904, -117.674967598057, -117.69841301842, -117.711550160193, -117.726938757323, -117.804815718, -117.821708549023, -117.842851694266, -117.869930598151, -117.936340941916, -117.994282620334, -118.032171783952, -118.071846581005, -118.10331225095, -118.120906612275, -118.126217562398, -118.158911609725, -118.213183386382, -118.278418192884, -118.328148672031, -118.344262836538, 
-118.355389100911, -118.381033913573, -118.386306891335, -118.365744883806, -118.280656645428, -118.249817130908, -118.236671545077, -118.246271248017, -118.19474021587, -118.190400643291, -118.148330582866, -118.145531247987, -118.170389882546, -118.212632398618, -118.195496399434, -118.145979042104, -118.147611957231, -118.126973383333, -118.122319515646, -118.090068341052, -118.124303869377, -118.115026076738, -118.127943672991, -118.124542219762, -118.14099228166, -118.209665063239, -118.20080854105, 
-118.214947831965, -118.212363380241, -118.200354737664, -117.438580430303, -117.433887709587, -117.499616208584, -117.500371459675, -117.566018211899, -117.567261871474, -117.635541097765, -117.635987907605, -117.506418078962, -117.500321779601, -117.440107095345, -117.438831576286, 48.0441154851226, 48.0432901431664, 47.7900126827866, 47.7980041293219, 47.826923630728, 47.844253791452, 47.8837935871785, 47.8703235008448, 47.8394087150559, 47.8305812549322, 47.8112733713947, 47.8162436063501, 47.8368313086819, 
47.8472526236868, 47.8279445329331, 47.8298429437622, 47.7987177817691, 47.7965811241627, 47.8262558766597, 47.8311805758644, 47.8656698403743, 47.8856664586161, 47.9404725421356, 47.9302139954226, 47.8882969641305, 47.885378531765, 47.9663352425868, 47.9978716768489, 48.0236214444942, 48.041337545312, 48.0435241938165, 48.0562468514693, 48.0752561883275, 48.1175774465393, 48.1475243774595, 48.2061122076617, 48.2401256002653, 48.2733526075504, 48.2980568142677, 48.4522579095406, 48.481941106096, 
48.5280550934469, 48.5432797825962, 48.5702238923706, 48.6159783078837, 48.6434796219063, 48.6903243052334, 48.7065677726222, 48.7425026288525, 48.7822677721505, 48.7849071879597, 48.8749297610946, 48.9133788745748, 48.9368391626973, 48.9812581218778, 48.9999088193711, 48.9999185067265, 48.9210817208064, 48.91900816052, 48.8399538494383, 48.8383197428184, 48.7463527568673, 48.7446694364099, 48.6513559080619, 48.6528074572468, 48.1333122500649, 48.1330536961041, 48.0441154851226)))"
Okanogan,Washington,53047,"list(list(c(-118.972093862835, -118.97406288257, -118.954020521361, -118.954273014249, -119.003790216167, -119.02306380543, -119.048318481871, -119.124714675885, -119.24773450539, -119.314731167273, -119.334262844261, -119.336612261058, -119.362553133804, -119.404447992967, -119.458993502169, -119.509739029665, -119.614365627753, -119.639719405321, -119.662135945657, -119.690839890454, -119.67556614288, -119.728425741422, -119.743975708135, -119.76363777589, -119.773182411135, -119.810431225022, 
-119.894763176229, -119.894862173748, -119.870827845065, -119.886102162484, -119.872345029968, -120.062014848724, -120.068065715942, -120.092336115633, -120.091229943979, -120.120184827544, -120.13816828901, -120.225971421683, -120.272154308406, -120.320664025365, -120.337487594387, -120.349237475788, -120.35106885219, -120.377872003173, -120.394626931843, -120.454115841507, -120.506371922989, -120.567835809853, -120.571414277485, -120.546030971615, -120.548678572462, -120.559489816472, -120.593823099019, 
-120.628766943975, -120.650725692014, -120.650092646652, -120.629080876454, -120.649673551973, -120.627395276619, -120.650589654607, -120.647110961555, -120.653626821831, -120.699122372559, -120.686571963337, -120.692760059456, -120.712490508543, -120.750127386489, -120.772665459101, -120.775817061448, -120.762702091805, -120.745741501098, -120.740179664012, -120.709195823439, -120.71005059009, -120.69401345819, -120.66802689428, -120.658658237357, -120.66559381396, -120.72223702413, -120.735131774802, 
-120.731059355654, -120.768354171527, -120.769827426605, -120.75144807867, -120.761298409552, -120.789253682372, -120.827393732953, -120.874652330556, -120.875835120384, -120.857303105945, -120.857059471548, -118.843602801509, -118.839736044398, -118.871055626951, -118.870258155568, -118.848460466287, -118.851628801339, -118.937630448541, -118.972093862835, 47.9391520053664, 47.9593969203692, 47.9887021028489, 48.0195749791699, 48.0478990449467, 48.1024727355453, 48.1311479291014, 48.1498239069659, 
48.1059447458763, 48.1066916565168, 48.0856186539437, 48.0570040711137, 48.0455061127572, 48.0452499935862, 48.0756416103809, 48.0765794707108, 48.0050590210841, 47.9972041299968, 48.0004654532994, 48.024799623763, 48.0804078410291, 48.0830738323105, 48.0989050431535, 48.0998966760764, 48.0858771561004, 48.0869752981284, 48.0520535216932, 48.0391442658904, 48.0152144259546, 47.9789510285062, 47.9580387738674, 47.9576733999772, 47.9856546266211, 47.998944952938, 48.0183317858316, 48.030130570245, 
48.0527788300493, 48.0918069572783, 48.1220845015782, 48.1310868003349, 48.1422143598094, 48.1599187529143, 48.2083134131013, 48.2155078026858, 48.2377097706904, 48.2597774626247, 48.2977026818541, 48.3169158158036, 48.3325178973802, 48.3525534204556, 48.3635664411989, 48.3748310223577, 48.3813342424481, 48.3984423192551, 48.4380423112754, 48.4509856541361, 48.4644635628798, 48.479630335113, 48.4949889377043, 48.5077828259112, 48.5305069786333, 48.5372702550016, 48.5346865803389, 48.5534971450979, 
48.5782848081227, 48.5893164265162, 48.5799963099775, 48.5923286759972, 48.6227431901773, 48.643430615285, 48.6452734403798, 48.6551269313084, 48.6624174173861, 48.6771917222166, 48.6951782919243, 48.6944730317314, 48.7219923217557, 48.7356831451014, 48.7697932558467, 48.7916476187466, 48.8509628294665, 48.8916005082007, 48.9165488155519, 48.9304575784915, 48.9463877350498, 48.9553595730314, 48.9395164472593, 48.961366510424, 48.9696634971838, 48.9808180465628, 48.9998306470756, 48.9998984585632, 
48.6490384543578, 48.6472375905349, 48.4791641505621, 48.478065749514, 47.94956368482, 47.9373326993055, 47.9391520053664)))"
Pend Oreille,Washington,53051,"list(list(c(-117.438580430303, -117.032049525944, -117.029111718867, -117.03886843985, -117.438831576286, -117.440107095345, -117.500321779601, -117.506418078962, -117.635987907605, -117.635541097765, -117.567261871474, -117.566018211899, -117.500371459675, -117.499616208584, -117.433887709587, -117.438580430303, 48.9999185067265, 48.9999313023242, 48.8380752795563, 48.0461859889707, 48.0441154851226, 48.1330536961041, 48.1333122500649, 48.6528074572468, 48.6513559080619, 48.7446694364099, 48.7463527568673, 
48.8383197428184, 48.8399538494383, 48.91900816052, 48.9210817208064, 48.9999185067265)))"
Boundary,Idaho,16021,"list(list(c(-117.029111718867, -117.032049525944, -116.063531306469, -116.056692188987, -116.786742013423, -116.787678267827, -117.029111718867, 48.8380752795563, 48.9999313023242, 48.9999504698188, 48.4986652113627, 48.4961297662607, 48.8365380982941, 48.8380752795563)))"
Lincoln,Montana,30053,"list(list(c(-116.055497484229, -116.056692188987, -116.063531306469, -114.729325264385, -114.716193976469, -114.684354903009, -114.719488506161, -114.708791490058, -114.688280923941, -114.726558410639, -114.729884488991, -114.664864203016, -114.615285768724, -114.651854291965, -114.688269889681, -114.680784724023, -114.689581257135, -114.662656055835, -114.654926893152, -114.889607635847, -114.888277774351, -114.850205638866, -114.852088560287, -115.020178059512, -115.009676914482, -115.151579212753, 
-115.150373007499, -115.129969986568, -115.153859056724, -115.175978397286, -115.178357705013, -115.202315156502, -115.252931795549, -115.265345079478, -115.287669823056, -115.335089997457, -115.38724708142, -115.397951868129, -115.414128456503, -115.428822465072, -115.488114001346, -115.522698015444, -115.543472833966, -115.559129154372, -115.544177420706, -115.550991568641, -115.600267260127, -115.635893157066, -115.657648263427, -115.678718675798, -115.696814914657, -115.687245672493, -115.71480039648, 
-115.749834121444, -115.768167674608, -115.807583503268, -115.871488603686, -115.904952303627, -115.951095663868, -115.95890931894, -115.971170143582, -116.014391237958, -116.024332122301, -116.015800774067, -116.021736170081, -116.055497484229, 48.208483796587, 48.4986652113627, 48.9999504698188, 48.9999701553538, 48.9795652176732, 48.968868978631, 48.9254986886207, 48.9179264921766, 48.8408267475027, 48.8225002914923, 48.8059098924514, 48.7886640168995, 48.7429980826857, 48.7329840510388, 48.7081726617639, 
48.6886450254911, 48.6716922571943, 48.6615452963822, 48.6489414253919, 48.6480464070026, 48.5639658607989, 48.5615400848483, 48.2191475544964, 48.2174862507558, 48.0085035752741, 48.0058503795905, 47.9772735101012, 47.959027557568, 47.9496733539714, 47.9550328962832, 47.9182085128918, 47.9056231877476, 47.9039669608028, 47.8935257530468, 47.8905804861888, 47.9077389165221, 47.8982204423165, 47.9015658953791, 47.92939088104, 47.9074441515378, 47.9094844536309, 47.900640934255, 47.9063891622747, 47.9300404000865, 
47.9653582702071, 47.9926070913414, 48.0239829330813, 48.0639658605611, 48.1227110714351, 48.1510321843817, 48.1594967054051, 48.1972152265171, 48.242199471376, 48.2526620742004, 48.2509830016742, 48.2088957423086, 48.1955950033798, 48.1788007554437, 48.1722377016878, 48.1497105079236, 48.1447278399987, 48.1501093472232, 48.1640105467731, 48.1906884355888, 48.2013356162057, 48.208483796587)))"
Flathead,Montana,30029,"list(list(c(-113.473630057205, -113.637319528537, -113.628591842993, -113.602849327914, -113.603544071886, -113.608366250897, -113.638640997779, -113.643974327247, -113.670762506862, -113.671540862555, -113.652543026193, -113.683511999008, -113.667428709709, -113.675188177755, -113.666719305193, -113.72977041602, -113.748394175413, -113.760296516101, -113.772176166621, -113.808829544878, -113.843484116078, -113.862421238105, -113.863940598777, -113.881932348889, -114.023930381025, -114.021976695286, 
-114.053137084025, -114.054014022805, -114.079131522149, -114.065138163213, -114.048222693824, -114.040905580471, -114.501184626256, -114.501054287293, -114.486275734531, -114.484924633379, -114.607431240265, -114.609025820403, -114.987121332104, -114.987603420495, -115.009211403384, -115.009676914482, -115.020178059512, -114.852088560287, -114.850205638866, -114.888277774351, -114.889607635847, -114.654926893152, -114.662656055835, -114.689581257135, -114.680784724023, -114.688269889681, -114.651854291965, 
-114.615285768724, -114.664864203016, -114.729884488991, -114.726558410639, -114.688280923941, -114.708791490058, -114.719488506161, -114.684354903009, -114.716193976469, -114.729325264385, -114.06346349403, -114.067919159462, -114.056733734875, -114.023452799585, -114.052949087166, -114.031173829035, -114.018920360567, -114.018088646714, -114.034469550219, -114.022475464577, -113.990285574162, -113.995534670261, -113.950931392308, -113.921701999138, -113.91115764954, -113.87524460281, -113.85124135655, 
-113.822431679708, -113.803960120583, -113.772854177889, -113.781949361288, -113.771924347185, -113.718202988447, -113.710091978189, -113.712609654505, -113.737063026064, -113.731347900825, -113.748873051954, -113.753091662101, -113.684568749608, -113.636982128828, -113.611185944764, -113.555901088312, -113.507589936236, -113.483899949003, -113.483998428482, -113.464382362714, -113.421610150339, -113.367866671276, -113.340635204495, -113.388861812378, -113.368665334152, -113.361706860163, -113.342884225063, 
-113.344837185546, -113.309434926645, -113.286262720786, -113.26122945481, -113.232700348645, -113.243404151077, -113.23672629957, -113.211432821904, -113.186056095147, -113.15877070036, -113.118949764112, -113.07944286395, -113.064938199145, -113.057467642226, -113.003005744745, -112.99518499252, -112.998861473394, -112.981434076488, -112.941903450077, -112.948853220987, -112.900502646038, -112.885852463686, -112.927601960714, -112.984772069769, -113.02954319281, -113.076451180673, -113.090642327432, 
-113.091450729467, -113.064982387991, -113.068863391213, -113.093575368536, -113.151958054742, -113.165805688916, -113.161395196606, -113.130844852235, -113.152062232666, -113.473630057205, 47.5975763211083, 47.6002651579711, 47.6520696636417, 47.6689347276997, 47.6942761759061, 47.7049842262693, 47.704801150794, 47.7187441562036, 47.734129178855, 47.745199598474, 47.7613247454368, 47.8007587573148, 47.8123481498008, 47.8581413665395, 47.8786727060764, 47.9119612565603, 47.9441966827265, 47.9490873466774, 
47.9410647141104, 47.9778587921387, 47.9735823686835, 48.0007402219245, 48.0252050421756, 48.0445120968485, 48.0434705766357, 48.0272954905789, 48.0256511267592, 48.006313507703, 48.0036162267818, 47.9844238144482, 47.9849846449791, 47.9530354361307, 47.953766183911, 47.8694579589539, 47.8682715428428, 47.7811975520244, 47.7810603231239, 47.8658261331613, 47.864910030528, 48.0017399880816, 48.0015872179693, 48.0085035752741, 48.2174862507558, 48.2191475544964, 48.5615400848483, 48.5639658607989, 
48.6480464070026, 48.6489414253919, 48.6615452963822, 48.6716922571943, 48.6886450254911, 48.7081726617639, 48.7329840510388, 48.7429980826857, 48.7886640168995, 48.8059098924514, 48.8225002914923, 48.8408267475027, 48.9179264921766, 48.9254986886207, 48.968868978631, 48.9795652176732, 48.9999701553538, 48.9999775115274, 48.9851417671061, 48.9599262027156, 48.9532087211181, 48.9228351321291, 48.9196004361028, 48.9031512030693, 48.8915733628841, 48.8780421995879, 48.856053923246, 48.8419548322655, 
48.817559222211, 48.8059629397877, 48.8164273557535, 48.8365429160698, 48.8292724781554, 48.8444596093762, 48.8317873052497, 48.8318333590408, 48.8107761048956, 48.7795403412783, 48.7612790029455, 48.7290595842274, 48.7006734572113, 48.6914873577227, 48.6805043315182, 48.6586492433617, 48.6359509926593, 48.6064776024636, 48.5863887730316, 48.583870941303, 48.5689243880414, 48.5703472377885, 48.5437461225592, 48.5408392942985, 48.4392354619116, 48.4248882295823, 48.4113308016381, 48.4117928418658, 
48.3644475761056, 48.3283135333437, 48.3010188138304, 48.2920693033899, 48.2888077728712, 48.2782445666022, 48.2685436903737, 48.2467039880169, 48.2455710854786, 48.2231166245858, 48.2021765511778, 48.1655496447847, 48.1579427914382, 48.1632493900217, 48.1435874776787, 48.130029428086, 48.1450679335176, 48.1386665601687, 48.116769096308, 48.1216752496666, 48.1168418809834, 48.0901909302682, 48.0657072015427, 48.0488764835628, 48.0241748670474, 48.0084657065213, 47.9729918026339, 47.9428657851494, 
47.9463747317605, 47.9209220084774, 47.9153406412687, 47.9037550304775, 47.8904108279597, 47.8707723828465, 47.7731935689116, 47.7430298898904, 47.7345264122294, 47.7164865361651, 47.6887307607009, 47.6482798873329, 47.596384361965, 47.5975763211083)))"
Glacier,Montana,30035,"list(list(c(-112.182733538994, -112.229153429198, -112.583526317121, -112.587983174046, -113.368665334152, -113.388861812378, -113.340635204495, -113.367866671276, -113.421610150339, -113.464382362714, -113.483998428482, -113.483899949003, -113.507589936236, -113.555901088312, -113.611185944764, -113.636982128828, -113.684568749608, -113.753091662101, -113.748873051954, -113.731347900825, -113.737063026064, -113.712609654505, -113.710091978189, -113.718202988447, -113.771924347185, -113.781949361288, 
-113.772854177889, -113.803960120583, -113.822431679708, -113.85124135655, -113.87524460281, -113.91115764954, -113.921701999138, -113.950931392308, -113.995534670261, -113.990285574162, -114.022475464577, -114.034469550219, -114.018088646714, -114.018920360567, -114.031173829035, -114.052949087166, -114.023452799585, -114.056733734875, -114.067919159462, -114.06346349403, -112.188387431858, -112.19703725593, -112.187492465272, -112.182733538994, 48.4711651406371, 48.4787676942483, 48.4746863130015, 
48.3002433073601, 48.3010188138304, 48.3283135333437, 48.3644475761056, 48.4117928418658, 48.4113308016381, 48.4248882295823, 48.4392354619116, 48.5408392942985, 48.5437461225592, 48.5703472377885, 48.5689243880414, 48.583870941303, 48.5863887730316, 48.6064776024636, 48.6359509926593, 48.6586492433617, 48.6805043315182, 48.6914873577227, 48.7006734572113, 48.7290595842274, 48.7612790029455, 48.7795403412783, 48.8107761048956, 48.8318333590408, 48.8317873052497, 48.8444596093762, 48.8292724781554, 
48.8365429160698, 48.8164273557535, 48.8059629397877, 48.817559222211, 48.8419548322655, 48.856053923246, 48.8780421995879, 48.8915733628841, 48.9031512030693, 48.9196004361028, 48.9228351321291, 48.9532087211181, 48.9599262027156, 48.9851417671061, 48.9999775115274, 48.9999919130504, 48.9101262543509, 48.9093366571818, 48.4711651406371)))"
Toole,Montana,30101,"list(list(c(-111.422310073765, -111.673545004478, -111.674158726933, -111.799791603991, -111.800143612439, -111.991796334413, -111.993147590977, -112.003829480301, -112.015121465796, -112.02665786275, -112.055559284546, -112.083560611157, -112.13964791218, -112.173127464158, -112.182733538994, -112.187492465272, -112.19703725593, -112.188387431858, -111.282679434427, -111.286606128812, -111.422310073765, 48.2177625216981, 48.2129274952856, 48.3372040389833, 48.3387066669512, 48.3849155593023, 48.3868372301451, 
48.4307796439669, 48.4422467789199, 48.4371043473374, 48.4462940731088, 48.4334608656359, 48.4321369098001, 48.4645964402409, 48.4629787036975, 48.4711651406371, 48.9093366571818, 48.9101262543509, 48.9999919130504, 49.0000115985854, 48.2193731092841, 48.2177625216981)))"
