County,FIPS,Deaths,Population,Crude.Rate,rate_100k
"Autauga County, AL",1001,58,59095,98.1,98.15
"Baldwin County, AL",1003,245,239294,102.4,102.38
"Barbour County, AL",1005,33,24964,132.2,132.19
"Bibb County, AL",1007,16,22477,Unreliable,71.18
"Blount County, AL",1009,93,59041,157.5,157.52
"Butler County, AL",1013,24,18884,127.1,127.09
"Calhoun County, AL",1015,156,115972,134.5,134.52
"Chambers County, AL",1017,40,34541,115.8,115.8
"Cherokee County, AL",1019,55,24996,220.0,220.04
"Chilton County, AL",1021,65,45274,143.6,143.57
"Clarke County, AL",1025,34,22760,149.4,149.38
"Clay County, AL",1027,23,14190,162.1,162.09
"Cleburne County, AL",1029,22,15103,145.7,145.67
"Coffee County, AL",1031,50,54174,92.3,92.3
"Colbert County, AL",1033,77,57474,134.0,133.97
"Conecuh County, AL",1035,19,11328,Unreliable,167.73
"Coosa County, AL",1037,22,10450,210.5,210.53
"Covington County, AL",1039,87,37524,231.9,231.85
"Crenshaw County, AL",1041,23,13083,175.8,175.8
"Cullman County, AL",1043,127,89496,141.9,141.91
"Dale County, AL",1045,61,49342,123.6,123.63
"Dallas County, AL",1047,46,37619,122.3,122.28
"DeKalb County, AL",1049,119,71813,165.7,165.71
"Elmore County, AL",1051,107,89304,119.8,119.82
"Escambia County, AL",1053,50,36699,136.2,136.24
"Etowah County, AL",1055,183,103162,177.4,177.39
"Fayette County, AL",1057,36,16148,222.9,222.94
"Franklin County, AL",1059,65,32013,203.0,203.04
"Geneva County, AL",1061,48,26701,179.8,179.77
"Greene County, AL",1063,11,7629,Unreliable,144.19
"Hale County, AL",1065,24,14754,162.7,162.67
"Henry County, AL",1067,19,17459,Unreliable,108.83
"Houston County, AL",1069,97,107458,90.3,90.27
"Jackson County, AL",1071,94,52773,178.1,178.12
"Jefferson County, AL",1073,657,667820,98.4,98.38
"Lamar County, AL",1075,21,13689,153.4,153.41
"Lauderdale County, AL",1077,114,94043,121.2,121.22
"Lawrence County, AL",1079,62,33090,187.4,187.37
"Lee County, AL",1081,122,177218,68.8,68.84
"Limestone County, AL",1083,103,107517,95.8,95.8
