FIPS,without_decimal,Percent_Below_Poverty
48431,243,2.43
48033,261,2.61
49029,277,2.77
8035,307,3.07
51610,317,3.17
20203,329,3.29
51107,339,3.39
49009,348,3.48
38075,366,3.66
48243,390,3.9
46021,400,4
27019,409,4.09
46083,410,4.1
17133,413,4.13
38081,418,4.18
27163,429,4.29
47187,435,4.35
35028,436,4.36
51179,443,4.43
16081,449,4.49
17093,450,4.5
34019,452,4.52
39165,455,4.55
18057,458,4.58
55131,461,4.61
27171,461,4.61
24009,461,4.61
33015,464,4.64
19119,464,4.64
46117,466,4.66
46045,468,4.68
48397,475,4.75
34027,478,4.78
39041,481,4.81
30019,481,4.81
8039,481,4.81
55133,483,4.83
8047,488,4.88
20197,488,4.88
34037,494,4.94
51199,494,4.94
36079,498,4.98
24027,500,5
18063,500,5
19121,503,5.03
31135,503,5.03
51099,512,5.12
34035,514,5.14
27039,514,5.14
31081,517,5.17
29183,518,5.18
17147,518,5.18
26093,521,5.21
24013,521,5.21
19049,522,5.22
51075,522,5.22
38021,523,5.23
55109,524,5.24
8111,526,5.26
20179,527,5.27
51085,529,5.29
31149,531,5.31
55089,534,5.34
46003,535,5.35
51145,536,5.36
20091,537,5.37
49011,541,5.41
31073,544,5.44
48261,546,5.46
51065,548,5.48
32017,550,5.5
27139,551,5.51
13113,554,5.54
36059,556,5.56
8014,557,5.57
48259,558,5.58
49043,560,5.6
19075,560,5.6
51735,564,5.64
46057,568,5.68
20069,568,5.68
13117,569,5.69
2195,573,5.73
39055,575,5.75
38091,575,5.75
30097,575,5.75
24035,575,5.75
55015,578,5.78
24003,579,5.79
51061,581,5.81
30083,582,5.82
36091,584,5.84
31007,584,5.84
31011,584,5.84
38013,586,5.86
42017,587,5.87
21185,588,5.88
27003,589,5.89
39159,589,5.89
56033,590,5.9
42091,592,5.92
49051,593,5.93
31153,595,5.95
18011,595,5.95
27025,597,5.97
30033,598,5.98
39103,603,6.03
27037,605,6.05
20171,605,6.05
8063,606,6.06
8095,608,6.08
48205,609,6.09
26089,611,6.11
38105,612,6.12
51059,612,6.12
56039,615,6.15
34005,615,6.15
51069,616,6.16
41027,617,6.17
